0;0;0;0;land;false;unknown;0
1;46;192;244;land;true;plains;1
2;247;93;197;land;false;plains;1
3;214;218;216;land;true;plains;1
4;155;166;229;land;false;plains;1
5;231;185;184;land;false;plains;1
6;188;190;246;land;false;urban;1
7;198;246;81;land;false;hills;1
8;202;183;220;land;false;urban;1
9;203;173;177;land;false;hills;1
10;174;243;246;land;false;plains;1
11;60;218;229;land;false;plains;1
12;189;217;190;land;false;plains;1
13;218;128;166;land;false;plains;1
14;144;217;188;land;false;plains;1
15;196;109;222;land;false;plains;1
16;224;179;247;land;true;plains;1
17;175;203;170;land;true;plains;1
18;122;154;234;land;true;hills;1
19;252;67;220;land;true;plains;1
20;235;201;96;land;true;plains;1
21;208;192;235;land;false;plains;1
22;179;253;88;land;false;hills;1
23;117;229;241;land;false;urban;1
24;115;181;222;land;false;plains;1
25;218;240;221;land;false;plains;1
26;177;211;248;land;false;plains;1
27;112;245;200;land;true;plains;1
28;229;203;109;land;true;plains;1
29;227;242;249;land;false;plains;1
30;235;198;119;land;false;hills;1
31;95;204;217;land;false;plains;1
32;245;166;181;land;true;plains;1
33;159;177;169;land;false;urban;1
34;165;237;139;land;true;urban;1
35;152;233;161;land;true;urban;1
36;245;51;225;land;true;plains;1
37;239;224;161;land;false;plains;1
38;189;89;230;land;false;plains;1
39;205;132;249;land;false;hills;1
40;232;247;66;land;false;hills;1
41;123;127;250;land;false;plains;1
42;68;250;182;land;false;urban;1
43;254;231;78;land;false;hills;1
44;188;204;197;land;false;forest;1
45;169;235;121;land;false;forest;1
46;210;225;151;land;false;plains;1
47;223;142;231;land;false;plains;1
48;243;93;186;land;false;plains;1
49;243;74;204;land;false;hills;1
50;139;248;120;land;false;hills;1
51;237;243;90;land;false;plains;1
52;240;240;188;land;false;plains;1
53;227;169;164;land;true;plains;1
54;206;83;232;land;false;plains;1
55;184;163;177;land;false;forest;1
56;220;162;127;land;false;plains;1
57;243;208;183;land;false;plains;1
58;245;240;187;land;false;plains;1
59;68;216;224;land;false;plains;1
60;77;248;202;land;false;plains;1
61;43;222;246;land;false;hills;1
62;74;253;217;land;true;plains;1
63;150;175;185;land;false;plains;1
64;201;169;143;land;false;urban;1
65;245;206;178;land;false;plains;1
66;153;240;177;land;false;urban;1
67;179;186;182;land;false;plains;1
68;214;178;166;land;false;hills;1
69;244;63;210;land;false;hills;1
70;178;241;85;land;false;plains;1
71;156;234;149;land;false;hills;1
72;109;237;193;land;false;plains;1
73;49;232;225;land;false;plains;1
74;78;250;179;land;false;plains;1
75;111;239;189;land;false;plains;1
76;172;250;99;land;false;urban;1
77;237;246;246;land;false;plains;1
78;175;122;210;land;false;hills;1
79;200;218;235;land;false;hills;1
80;244;215;108;land;false;hills;1
81;230;149;238;land;false;hills;1
82;171;163;200;land;false;hills;1
